run_id,commit_sha,commit_message,workflow_name,status,workflow_duration,job_name,job_duration,test_count,test_failures,test_errors,test_duration_total,timestamp
27101892348,2cf6515b,experiment: introduce intentional test failure,CI Parallel,failure,24.0,test,20.0,104,1,0,0.188,2026-06-07T19:03:22Z
27101892348,2cf6515b,experiment: introduce intentional test failure,CI Parallel,failure,24.0,lint,20.0,104,1,0,0.188,2026-06-07T19:03:22Z
27101892348,2cf6515b,experiment: introduce intentional test failure,CI Parallel,failure,24.0,build-artifact,0.0,104,1,0,0.188,2026-06-07T19:03:22Z
27101892323,2cf6515b,experiment: introduce intentional test failure,CI Sequential,failure,43.0,lint,18.0,104,1,0,0.161,2026-06-07T19:03:22Z
27101892323,2cf6515b,experiment: introduce intentional test failure,CI Sequential,failure,43.0,test,18.0,104,1,0,0.161,2026-06-07T19:03:22Z
27101892323,2cf6515b,experiment: introduce intentional test failure,CI Sequential,failure,43.0,build-artifact,0.0,104,1,0,0.161,2026-06-07T19:03:22Z
27101848035,ccdf92a7,experiment: increase slow test sleep to 10s,CI Sequential,success,87.0,lint,22.0,104,0,0,20.13,2026-06-07T19:01:38Z
27101848035,ccdf92a7,experiment: increase slow test sleep to 10s,CI Sequential,success,87.0,test,43.0,104,0,0,20.13,2026-06-07T19:01:38Z
27101848035,ccdf92a7,experiment: increase slow test sleep to 10s,CI Sequential,success,87.0,build-artifact,11.0,104,0,0,20.13,2026-06-07T19:01:38Z
27101848017,ccdf92a7,experiment: increase slow test sleep to 10s,CI Parallel,success,54.0,test,38.0,104,0,0,20.163,2026-06-07T19:01:38Z
27101848017,ccdf92a7,experiment: increase slow test sleep to 10s,CI Parallel,success,54.0,lint,20.0,104,0,0,20.163,2026-06-07T19:01:38Z
27101848017,ccdf92a7,experiment: increase slow test sleep to 10s,CI Parallel,success,54.0,build-artifact,10.0,104,0,0,20.163,2026-06-07T19:01:38Z
27101807787,ac957c6d,experiment: enable slow tests with 5s sleep,CI Parallel,success,46.0,test,30.0,104,0,0,10.156,2026-06-07T19:00:08Z
27101807787,ac957c6d,experiment: enable slow tests with 5s sleep,CI Parallel,success,46.0,lint,19.0,104,0,0,10.156,2026-06-07T19:00:08Z
27101807787,ac957c6d,experiment: enable slow tests with 5s sleep,CI Parallel,success,46.0,build-artifact,9.0,104,0,0,10.156,2026-06-07T19:00:08Z
27101807779,ac957c6d,experiment: enable slow tests with 5s sleep,CI Sequential,success,64.0,lint,17.0,104,0,0,10.157,2026-06-07T19:00:08Z
27101807779,ac957c6d,experiment: enable slow tests with 5s sleep,CI Sequential,success,64.0,test,31.0,104,0,0,10.157,2026-06-07T19:00:08Z
27101807779,ac957c6d,experiment: enable slow tests with 5s sleep,CI Sequential,success,64.0,build-artifact,8.0,104,0,0,10.157,2026-06-07T19:00:08Z
27101771617,ad5c4513,chore: baseline run 3 - stability check,CI Sequential,success,63.0,lint,24.0,104,0,0,0.151,2026-06-07T18:58:37Z
