run_id,job_name,step_name,step_duration,timestamp
27102049980,test,Run actions/checkout@v4,1.0,2026-06-07T19:10:07Z
27102049980,test,Run actions/setup-python@v5,0.0,2026-06-07T19:10:07Z
27102049980,test,Cache pip,2.0,2026-06-07T19:10:07Z
27102049980,test,Install dependencies,13.0,2026-06-07T19:10:07Z
27102049980,test,Run pytest,1.0,2026-06-07T19:10:07Z
27102049980,test,Upload test results,1.0,2026-06-07T19:10:07Z
27102049980,test,Post Cache pip,0.0,2026-06-07T19:10:07Z
27102049980,test,Post Run actions/setup-python@v5,0.0,2026-06-07T19:10:07Z
27102049980,test,Post Run actions/checkout@v4,0.0,2026-06-07T19:10:07Z
27102049980,test,Complete job,1.0,2026-06-07T19:10:07Z
27102049980,build-artifact,Set up job,1.0,2026-06-07T19:10:07Z
27102049980,build-artifact,Run actions/checkout@v4,1.0,2026-06-07T19:10:07Z
27102049980,build-artifact,Run actions/setup-python@v5,0.0,2026-06-07T19:10:07Z
27102049980,build-artifact,Cache pip,2.0,2026-06-07T19:10:07Z
27102049980,build-artifact,Install runtime dependencies,2.0,2026-06-07T19:10:07Z
27102049980,build-artifact,Generate build report,0.0,2026-06-07T19:10:07Z
27102049980,build-artifact,Upload build report,1.0,2026-06-07T19:10:07Z
27102049980,build-artifact,Post Cache pip,1.0,2026-06-07T19:10:07Z
27102049980,build-artifact,Post Run actions/setup-python@v5,0.0,2026-06-07T19:10:07Z
27102049980,build-artifact,Post Run actions/checkout@v4,0.0,2026-06-07T19:10:07Z
27102049980,build-artifact,Complete job,0.0,2026-06-07T19:10:07Z
27102049977,lint,Set up job,1.0,2026-06-07T19:10:07Z
27102049977,lint,Run actions/checkout@v4,0.0,2026-06-07T19:10:07Z
27102049977,lint,Run actions/setup-python@v5,0.0,2026-06-07T19:10:07Z
27102049977,lint,Cache pip,1.0,2026-06-07T19:10:07Z
27102049977,lint,Install dev dependencies,14.0,2026-06-07T19:10:07Z
27102049977,lint,Run flake8,0.0,2026-06-07T19:10:07Z
27102049977,lint,Post Cache pip,0.0,2026-06-07T19:10:07Z
